Id,Name,Image,Year,painter_id
1,The Jewess,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168580/paintings_image/Amedeo%20Modigliani_paintings/the_jewess_1908_amadeo_modigliani_fko1ec.jpg,1908,1
2,Portrait of Jeanne Hebuterne,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168579/paintings_image/Amedeo%20Modigliani_paintings/Portrait_of_Jeanne_Hebuterne_1918_modigliani_amedeo_6_vldlts.jpg,1918,1
3,Jacques and Berthe Lipchitz,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168579/paintings_image/Amedeo%20Modigliani_paintings/Jacques_and_Berthe_Lipchitz_1916_modigliani_amedeo_udzpi2.jpg,1916,1
4,Der Blaue Reiter,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Vasiliy%20Kandinskiy_paintings/1903_kandinsky_wassily_der_blaue_reiter_zgnxbh.jpg,1903,2
5,Several Cicles,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Vasiliy%20Kandinskiy_paintings/1926_kandinsky_wassily_several_circles_p5k0pt.jpg,1926,2
6,Composition,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Vasiliy%20Kandinskiy_paintings/1911_kandinsky_wassily_composition_iv_bmxdpl.jpg,1911,2
7,Composition,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168595/paintings_image/Vasiliy%20Kandinskiy_paintings/1911_kandinsky_wassily_composition_iv_bmxdpl.jpg,1913,2
8,Moscow,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168594/paintings_image/Vasiliy%20Kandinskiy_paintings/1916_kandinsky_wassily_moscow_ukxtlz.jpg,1916,2
9,View of Toledo,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168602/paintings_image/Diego%20Rivera_paintings/view-of-toledo-1912_painter-diego-rivera_ipsn5e.jpg,1912,3
10,Zapatista Landscape,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168603/paintings_image/Diego%20Rivera_paintings/1915_zapatista_landscape_the_guerrilla_diego_rivera_geiwmz.jpg,1915,3
11,Motherhood,https://res.cloudinary.com/interactive-gallery/image/upload/v1601168604/paintings_image/Diego%20Rivera_paintings/Diego_Rivera__c.1916_-_Motherhood_sbwe5z.jpg,c. 1916,3
